reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOExCraHhaHsWah1f3CwJlH2vUygebdOl19oDJJgtCCu7Ai-Y4wyqasKKqFHiYeV078LvidJFf4O1Qsn,Kadek;"Agus,https://play-lh.googleusercontent.com/a/AATXAJxTd1lRhZMGhHpWf-yZf9227BcO_9qn1k72RtYm=mo,""Gamenya";bagus;banget;ukuran;menyipanannya;sedang,ngak;bikin;mata;rusak,;membuat;anak;lebih;kreatif;untukmembangun;base,dan;bisa;mencari;teman.;Namun;sayangnya;ketika;lagi;nyerang;base;musuh;dan;jaringannya;ngeleg;poleton;yang;telah;di;latih;langsung;hilang;seketika;jadi;saya;sarankan;ketika;lagi;nyerang;base;musuh;dan;jaringannya;ngeleg;itu;tidak;merugikan;ke;dua;"pihak"",5,259,14.426.1,2022-02-17";16:40:55,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOE_X4auB5A4ndGvdAqcA-jyK0CIJ5ZPtS27TsUE2_bnaad5h5IoUStqDP19CjH1DwIW75zqHbZqFvln,Indra;Leo,https://play-lh.googleusercontent.com/a-/AOh14Ggs2DnNRbQvoSnsPu0Trv3lEdOk7UGrrfdoHKbV,Sudah;bagus.;Sedikit;saran;mungkin;lebih;menarik;dan;seru;jika;kualitas;grafik;nya;di;tingkatkan;lagi;dan;varian;latar;nya.;Mungkin;akan;memakan;sedikit;lebih;banyak;penyimpanan;tapi;pasti;lebih;menarik;dan;player;lama;tertarik;untuk;main;kembali..;oh;iya;1;lagi;durasi;upgrade;nya;kalo;bisa;dikurangi;lagi;biar;ga;terlalu;lama;nunggu;nya.,5,353,14.426.3,2022-03-16;14:52:26,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOG91xuSx1NhnOwjNLGvtOg4qlx1eBNqDs_aTpwzemi3Mjr8ZDOSPiDeKElBXLJPdTlT2F9MfrEXpl2o,Ahmad;"jabaludin,https://play-lh.googleusercontent.com/a/AATXAJxQ6doKAqZMpXpU8izpkjlHjAeUZvF6xa6Q5Xl1=mo,""Gamenya";bagus,;hanya;koreksianya;1.;ketika;di;mode;malam;sering;mendapat;lawan;yg;TH;nya;diatas;kita+;perolehan;rampasan;tolong;ditingkatkan,;2.);untuk;waktu;peningkatan;didesa;asal;tolong;sedikit;dikurangi;agar;tidak;terlalu;lama;menunggu,;"thanks"",4,3746,14.426.4,2022-03-19";17:01:15,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOHvuqnLU_5ZabQ-yexkpkMG2xP7tsOeJihUazr7hLzPuzJjG0zHgjWfp54ZCFacRIkAYLCcBOVo24Td,Fash;"4825,https://play-lh.googleusercontent.com/a-/AOh14GgCyQtGM8PhH3wjgidnfo_xmfdv_HqBSP66ImEc,""Yah";paling;ada;satu;hal;yang;saya;paling;keluhkan;sih,;yaitu:;ketika;kita;lagi;menyerang;di;mode;multipemain;atau;war;klan,;dan;sedang;di;tengah;maupun;awal;pertempuran,;ketika;jaringan;terputus,;dan;masuk;kembali;ke;game;kenapa;pertempurannya;juga;malah;di;akhiri,;dan;yep;itu;sangat;mengesalkan;sih,;udah;dapet;musuh;yang;enak;lootingannya;ehh;malah;ilang;dah,;belum;juga;dapet;1;bintang,;yah;yang;saya;mau;sih;jika;disconect;dan;masuk;lagi;ke;game,;pertempurannya;masih;bisa;dilanjutkan;oleh;"kita"",2,1503,14.426.3,2022-03-07";16:30:38,,;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOHVwtB5rB_ce9Q-X9nSz5fg6LpIDtUvfABK2T3QleJXHT-BqZibBTQwkssL0GoOWhr1WUl--OxbK0qz,Ferdy;"Losdol,https://play-lh.googleusercontent.com/a-/AOh14GiErrucTT3rYrHL-WdpHvuA7AwMctRdPIw0x3LhAQ,""Supercell";tolong;di;perbaiki;masalah;koneksinya,;karena;aku;sudah;2;minggu;lebih;susah;main;coc,;setiap;masuk;ke;dalam;game;selalu;lag;padahal;koneksiku;sangat;bagus,;dan;yang;bikin;kecewa;saat;aku;attack;setiap;di;tengah²;menit;pertandingan;aku;selalu;mengalami;(try;again),;dan;membuat;tropy;ku;turun;drastis,;Semoga;cepat;di;perbaiki;karena;aku;penggemar;lama;game;ini.;Thankyou;"🙏🙏"",1,543,14.426.4,2022-04-01";09:35:08,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOETovd97bAcgWyi-m3HDoSgxuDcER_gbtr4K2Anwpt50f_bTRCvI2ywIKioBaAk7VhrH8XDc_hpuCz-,Azizan;"Az,https://play-lh.googleusercontent.com/a/AATXAJzpyOOOI3gONpVrC39OIClvRUh9Ttqronhph66_=mo,""Buat";supercell;mohon;di;perbaiki🙏,;setiap;gw;main;pertempuran;versus;(base;malam);selalu;dapat;yang;BH;level;9;hampir;max,;padahal;gw;baru;BH;level;7;ini;namanya;gak;adil,;gak;pernah;tuh;dapat;lawan;yang;seimbang,;att;nya;itu;gak;pernah;dapat;bintang,;itu;pun;hoki;klau;dapat;bintang;1-2,;kadang;juga;lagi;seru²nya;main;trus;kesalahan;sambungan;itu;kenapa;yaa;kesal;bangettt....tolong;di;"perbaiki"",1,9,14.426.6,2022-04-24";00:35:50,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOFGQ0es0aTVNw5ldf-yEDViCGq8d15ozSqSC1cgER-0Oiep_09IzXJOCy1b_BptXKhRVAMph4VKVhOg,Stevany;Karaseran,https://play-lh.googleusercontent.com/a/AATXAJy3HkUXlXxEI5_k1yT6kuX_syhgb4Er1PHOyDBv=mo,Game;ini;bagus...kekurangan;game;ini;adalah;durasi;untuk;mengupgrade;item;dan;hero;durasinya;sangat;lama;banget...harapan;saya;supaya;itu;bisa;di;perbaiki;dengan;lebih;cepat;dalam;mengupgrade;item;dan;hero;durasinya;itu;jangan;terlalu;lama...terima;kasih,3,46,14.426.4,2022-04-17;19:52:35,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOEjf-Z8i4CU9--t7VwtG98u9WyyRhvvURHErFSM_c44XuIel2Xw2lAQ5cGsfLZMqAvSxMEowssQrwO6,Rizki;"Maulana,https://play-lh.googleusercontent.com/a-/AOh14Gjq1_csVp0FZBNUda9h0AIqJYxXN4XcwcoUv2W-,""Game";nya;seru;bagus;dari;dulu;main;semenjak;2015.;Disini;saya;cuma;mau;kasih;saran,untuk;semua;hero;tolong;dong;dibikin;perbedaan;tampilan;nya;antara;level;besar;dan;kecil,seperti;peleton;yang;tampilan;nya;berbeda;di;tiap;lv.;Terus;tolong;juga;dark;eliksir;dibikin;bisa;upgrade;tembok,karna;dark;eliksir;selalu;numpuk.;Terima;kasih;supercell,semoga;"ditanggapi."",5,22,14.426.4,2022-04-20";17:50:35,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOHqDPUOT-ss_cr7EfqVLXovtD7A_r5s1HtJQC92-XB0AqsTzSmbK8XB6WkhiM9o-777ZGshOUG4fCZ3,defrengga;"tuhenay,https://play-lh.googleusercontent.com/a/AATXAJz3o6pnVeZfDfK4LDetMjZNdDydUOnBD2YRWHfh=mo,""Tolong";tingkat;kestabilan;jaringannya;di;perhatikan;dan;di;tingkatkan;lagi.;Krna;sering;terputus;ketika;sedang;di;tengah-tengah;permainan,;baik;saat;war;maupun;mode;multi;pemain.;Alhasil;gamenya;berkahir;dan;harus;di;reload;"ulang"",3,1002,14.426.4,2022-03-23";10:30:47,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gp:AOqpTOGW0hIE0BHxaIp0hhscxtMnOjC40aHpVe2ijAyAgSUcXBfCj_EEIgdbYKdmxY93SKP0yf5tl-exLupc,Rahmad;"Willyadi2,https://play-lh.googleusercontent.com/a/AATXAJwDo6MDjktkhynj9MGt5TCb6uZTIMsFJftuEoKq=mo,""Kalau";kasih;lawan;yg;bener;Napa;,selalu;kasih;lawan;GK;seimbang;kalau;di;mode;siang;oke;lah;tapi;kalau;mode;malam;selalu;dapat;lawan;yg;bulder;hall;nya;gede2,;bulder;hall;ku;masih;level;7;musuhnya;udah;level;08-Sep;padahal;pangkat;mode;malam;ku;GK;gede2;amat;(standar;bh;7);yg;tentu;perbedaan;trops;yg;digunakan;dan;dan;banyaknya;bangunan;yg;dihancurkan;tentu;sangat;berbeda;dan;tentu;sangat;mempengaruhi;kemenangan;dan;kekalahan;yg;tentu;tidak;adil;bagi;yg;bulder;hall;nya;kecil;"."",1,12,14.426.6,2022-04-24";00:22:35,,;;;;;;;;;;;;;;;;;;;;;;;
